"section","field","value","planned","actual","instructions"
"schedule","Oct-26","","4.4","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","Nov-26","","4.6","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","Dec-26","","4.8","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","Jan-27","","4.5","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","Feb-27","","4.2","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","Mar-27","","3.8","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","Apr-27","","3.5","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","May-27","","3","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","Jun-27","","2.5","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","Jul-27","","2","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","Aug-27","","6.55","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","","","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","","","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","","","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","","","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"schedule","","","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=Mon-YY; planned/actual=this month percentages; value blank. Start at programme beginning; cumulative totals calculated. Future actual blank."
"scope","Asphalt road length","28.09","km","","DUMMY DEMO DATA — NOT FOR REPORTING. field=description; value=quantity; planned=unit (km/m/no.); actual blank"
"scope","Salalah By-pass","5.521","km","","DUMMY DEMO DATA — NOT FOR REPORTING. field=description; value=quantity; planned=unit (km/m/no.); actual blank"
"scope","Under-passes","8","no.","","DUMMY DEMO DATA — NOT FOR REPORTING. field=description; value=quantity; planned=unit (km/m/no.); actual blank"
"scope","Flyover","1","no.","","DUMMY DEMO DATA — NOT FOR REPORTING. field=description; value=quantity; planned=unit (km/m/no.); actual blank"
"scope","Box culverts","82","no.","","DUMMY DEMO DATA — NOT FOR REPORTING. field=description; value=quantity; planned=unit (km/m/no.); actual blank"
"layer","BWC","Bituminous Wearing Course","50","","DUMMY DEMO DATA — NOT FOR REPORTING. field=layer code; value=description; planned=thickness in mm; actual blank"
"layer","BBC","Bituminous Base Course","60","","DUMMY DEMO DATA — NOT FOR REPORTING. field=layer code; value=description; planned=thickness in mm; actual blank"
"layer","ABC","Aggregate Base Course","300","","DUMMY DEMO DATA — NOT FOR REPORTING. field=layer code; value=description; planned=thickness in mm; actual blank"
"layer","GSB","Granular Sub-Base","200","","DUMMY DEMO DATA — NOT FOR REPORTING. field=layer code; value=description; planned=thickness in mm; actual blank"
"trade","Protection — cut slope","active","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Utilities","active","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Land acquisition","complete","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Culverts / retaining walls","complete","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Bridges / tunnels","active","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Pedestrian over/underpass","active","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Earthworks","complete","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Subbase layer","behind","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Aggregate base course","behind","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Bit. base course","behind","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Bit. wearing course","notstarted","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
"trade","Protection — embankment","active","","","DUMMY DEMO DATA — NOT FOR REPORTING. field=trade name; value=complete/active/behind/notstarted/unknown; planned and actual blank"
